Application domain (CSV 6-category vocabulary),,
Category,Papers,Percent of 112 papers
Other/Not mentioned,49,43.8
Industrial and Manufacturing,27,24.1
Healthcare and Medical,22,19.6
Agriculture and Food,15,13.4
Humanitarian and Emergency,9,8.0
Information and Communication Technology (ICT),4,3.6
Total assignments,126,112.5
,,
Application domain (7-category scheme),,
Category,Papers,Percent of 112 papers
Cold chains in healthcare and medicine,15,13.4
Pharmaceutical products and medicine,7,6.2
Agricultural produce and food,15,13.4
Industrial and manufacturing,27,24.1
Humanitarian and emergency,9,8.0
Information and communication technology,4,3.6
Others (not mentioned),49,43.8
Total assignments,126,112.5
