Supply chain problem (CSV 10-category vocabulary),,
Category,Papers,Percent of 112 papers
Inventory Analysis and Optimization,37,33.0
"Resilience Modeling, Risk Estimation and Mitigation",33,29.5
Other,28,25.0
Logistics Optimization and Route Planning,14,12.5
Energy and Carbon Cost Modeling and Optimization,7,6.2
Supply Chain Design,7,6.2
Warehouse Operations Optimization,7,6.2
Demand Forecasting,6,5.4
"Planning, production planning",4,3.6
Supply Chain Disruptions,1,0.9
Total assignments,144,128.6
,,
Supply chain problem (8-category scheme),,
Category,Papers,Percent of 112 papers
Inventory analysis and optimization,37,33.0
"Resilience modeling, risk estimation, and mitigation",34,30.4
Others,28,25.0
Logistics optimization and route planning,14,12.5
"Planning and design (analysis, optimization)",11,9.8
Warehouse operations,7,6.2
Energy and carbon cost modeling and optimization,7,6.2
Demand forecasting,6,5.4
Total assignments,144,128.6
